season,pos,team,p,w,d,l,gf,ga,pts
1952,4,Valur,4,0,2,2,3,5,2
1952,5,Víkingur R.,4,0,1,3,3,10,1
1953,1,ÍA,2,2,0,0,8,1,6
1953,2,KR,2,1,0,1,3,5,3
1953,3,Fram,2,0,0,2,2,7,0
1954,1,ÍA,5,4,1,0,20,4,13
1954,2,KR,5,3,2,0,9,6,11
1954,3,Fram,5,2,1,2,21,11,7
1954,4,Valur,5,1,2,2,4,6,5
1954,5,Þróttur R.,5,1,1,3,5,22,4
1954,6,Víkingur R.,5,0,1,4,2,12,1
1955,1,KR,5,4,1,0,21,3,13
1955,2,ÍA,5,4,0,1,23,7,12
1955,3,Valur,5,2,2,1,13,6,8
1955,4,Víkingur R.,5,2,0,3,9,20,6
1955,5,Fram,5,1,1,3,6,11,4
1955,6,Þróttur R.,5,0,0,5,2,27,0
1956,1,Valur,5,4,1,0,14,6,13
1956,2,KR,5,3,2,0,14,8,11
1956,3,ÍA,5,3,1,1,17,6,10
1956,4,Fram,5,2,0,3,10,12,6
1956,5,ÍBA Fullorðnir Karlar,5,1,0,4,3,13,3
1956,6,Víkingur R.,5,0,0,5,6,19,0
1958,1,ÍA,5,4,1,0,23,9,13
1958,2,KR,5,3,2,0,12,3,11
1958,3,Valur,5,3,0,2,10,12,9
1958,4,Keflavík,5,0,3,2,6,11,3
1958,5,Fram,5,0,2,3,8,12,2
1958,6,ÍBH Fullorðnir Karlar,5,0,2,3,7,19,2
1959,1,KR,10,10,0,0,41,6,30
1959,2,ÍA,10,5,1,4,30,19,16
1959,3,Valur,10,5,1,4,18,25,16
1959,4,Fram,10,4,3,3,19,18,15
1959,5,Keflavík,10,2,1,7,18,30,7
1959,6,Þróttur R.,10,0,2,8,9,37,2
1960,1,ÍA,10,6,3,1,32,15,21
1960,2,KR,10,6,1,3,41,15,19
1960,3,Fram,10,4,3,3,21,25,15
1960,4,Valur,10,3,4,3,14,25,13
1960,5,ÍBA Fullorðnir Karlar,10,3,0,7,25,35,9
1960,6,Keflavík,10,2,1,7,14,32,7
1961,1,KR,10,8,1,1,35,11,25
1961,2,ÍA,10,7,1,2,17,11,22
1961,3,Valur,10,5,2,3,18,13,17
1961,4,ÍBA Fullorðnir Karlar,10,4,1,5,23,23,13
1961,5,Fram,10,2,2,6,11,17,8
1961,6,ÍBH Fullorðnir Karlar,10,0,1,9,5,34,1
1962,1,Valur,10,5,3,2,17,8,18
1962,2,Fram,10,4,5,1,17,7,17
1962,3,ÍA,10,4,4,2,22,16,16
1962,4,KR,10,3,5,2,21,15,14
1962,5,ÍBA Fullorðnir Karlar,10,4,2,4,21,18,14
1962,6,ÍBÍ Fullorðnir Karlar,10,0,1,9,2,36,1
1963,1,KR,10,7,1,2,27,16,22
1963,2,ÍA,10,6,1,3,25,17,19
1963,3,Valur,10,4,2,4,20,20,14
1963,4,Fram,10,4,1,5,11,20,13
1963,5,Keflavík,10,3,1,6,15,19,10
